timestamp,action,reward,balance,portfolio_value,positions,quantum_factor,circuit_depth,entanglement
2025-03-27T04:30:49.440841,HOLD,0.0,10000.0,10000.0,"{'Polygon': 0, 'Solana': 0}",0.01171875,3,0.1
2025-03-27T04:30:49.918657,SELL,-0.04954911200246237,10000.0,10000.0,"{'Polygon': 0, 'Solana': 0}",-0.017204071029647352,3,0.1
2025-03-27T04:30:50.349235,SELL,-0.05033551078724579,10000.0,10000.0,"{'Polygon': 0, 'Solana': 0}",0.01285894503083915,3,0.1
2025-03-27T04:30:50.524713,HOLD,0.0,10000.0,10000.0,"{'Polygon': 0, 'Solana': 0}",-0.023677411938189338,3,0.1
2025-03-27T04:30:50.687555,SANDWICH,-0.09443238416075533,9900.0,9900.0,"{'Polygon': 0, 'Solana': 0}",-0.0950221828234083,3,0.1
2025-03-27T04:30:50.858556,HOLD,0.0,9900.0,9900.0,"{'Polygon': 0, 'Solana': 0}",0.045197441752324645,3,0.1
2025-03-27T04:30:51.031181,SELL,-0.04984256068784609,9900.0,9900.0,"{'Polygon': 0, 'Solana': 0}",-0.006109910935980249,3,0.1
2025-03-27T04:30:51.223821,HOLD,0.0,9900.0,9900.0,"{'Polygon': 0, 'Solana': 0}",0.06266149489248957,3,0.1
2025-03-27T04:30:51.395730,HOLD,0.0,9900.0,9900.0,"{'Polygon': 0, 'Solana': 0}",-0.08187757489618268,3,0.1
2025-03-27T04:30:51.568477,BUY,0.009611560184750829,8910.0,9900.0,"{'Polygon': 990.0, 'Solana': 0}",-0.06878459923255292,3,0.1
2025-03-27T04:30:51.736291,SANDWICH,-0.10006633636963128,8820.9,9810.9,"{'Polygon': 990.0, 'Solana': 0}",0.0012981385820456653,3,0.1
2025-03-27T04:30:51.941857,SELL,0.010048735428609843,9315.9,9810.9,"{'Polygon': 495.0, 'Solana': 0}",0.00942293669950576,3,0.1
2025-03-27T04:30:52.096313,SANDWICH,-0.09978511036852317,9222.741,9717.741,"{'Polygon': 495.0, 'Solana': 0}",-0.004185120758269088,3,0.1
2025-03-27T04:30:52.261490,SANDWICH,-0.09920058983768748,9130.51359,9625.51359,"{'Polygon': 495.0, 'Solana': 0}",-0.01531892143812134,3,0.1
2025-03-27T04:30:52.432467,SELL,0.00995363454661126,9378.01359,9625.51359,"{'Polygon': 247.5, 'Solana': 0}",-0.008966282343528567,3,0.1
2025-03-27T04:30:52.591025,BUY,0.009981120597211136,8440.212231000001,9625.513590000002,"{'Polygon': 247.5, 'Solana': 889.296627051005}",-0.0036810101361746065,3,0.1
2025-03-27T04:30:52.759396,SANDWICH,0.19924087839254728,8718.739234623,9880.419674715924,"{'Polygon': 247.5, 'Solana': 889.296627051005}",-0.007354321117499646,3,0.1
2025-03-27T04:30:52.929771,SELL,0.009878693657282236,9176.563815864525,9881.88839710605,"{'Polygon': 247.5, 'Solana': 444.6483135255025}",-0.022863772673360976,3,0.1
2025-03-27T04:30:53.098974,HOLD,0.002242037617554531,9176.563815864525,9905.501547699192,"{'Polygon': 247.5, 'Solana': 444.6483135255025}",0.005063059895997586,3,0.1
2025-03-27T04:30:53.273292,SANDWICH,-0.10830846080622354,9084.79817770588,9805.332281243396,"{'Polygon': 247.5, 'Solana': 444.6483135255025}",0.1346414037331823,3,0.1
2025-03-27T04:30:53.436194,BUY,0.009801981862672239,8176.3183599352915,9782.797057699938,"{'Polygon': 247.5, 'Solana': 1341.3298299123471}",-0.03677209826619505,3,0.1
2025-03-27T04:30:53.883238,SELL,0.009850400810839021,8875.883589766225,9822.948819597157,"{'Polygon': 247.5, 'Solana': 670.6649149561736}",-0.028111298157621745,3,0.1
